code	name	color	material	variantId	imageUrl	productUrl
40402	ABS	ABS Tangerine Yellow	ABS	B00-Y1	https://store.bblcdn.eu/s8/default/5d297742b7744e58a742421ec967a0ea/ABSsilver.png	https://eu.store.bambulab.com/products/abs-filament
40500	ABS	ABS Bambu Green	ABS	B00-G6	https://store.bblcdn.eu/s8/default/5d297742b7744e58a742421ec967a0ea/ABSsilver.png	https://eu.store.bambulab.com/products/abs-filament
40502	ABS	ABS Olive	ABS	B00-G7	https://store.bblcdn.eu/s8/default/5d297742b7744e58a742421ec967a0ea/ABSsilver.png	https://eu.store.bambulab.com/products/abs-filament
40600	ABS	ABS Blue	ABS	B00-B0	https://store.bblcdn.eu/s8/default/5d297742b7744e58a742421ec967a0ea/ABSsilver.png	https://eu.store.bambulab.com/products/abs-filament
40601	ABS	ABS Azure	ABS	B00-B4	https://store.bblcdn.eu/s8/default/5d297742b7744e58a742421ec967a0ea/ABSsilver.png	https://eu.store.bambulab.com/products/abs-filament
40602	ABS	ABS Navy Blue	ABS	B00-B6	https://store.bblcdn.eu/s8/default/5d297742b7744e58a742421ec967a0ea/ABSsilver.png	https://eu.store.bambulab.com/products/abs-filament
41100	ABS-GF	White	ABS	B50-W0	https://store.bblcdn.eu/s8/default/f10c8381233a457abfd61dd3c8bf5554/JP36183.png	https://eu.store.bambulab.com/products/abs-gf
41101	ABS-GF	Black	ABS	B50-K0	https://store.bblcdn.eu/s8/default/f10c8381233a457abfd61dd3c8bf5554/JP36183.png	https://eu.store.bambulab.com/products/abs-gf
41102	ABS-GF	Gray	ABS		https://store.bblcdn.eu/s8/default/f10c8381233a457abfd61dd3c8bf5554/JP36183.png	https://eu.store.bambulab.com/products/abs-gf
41200	ABS-GF	Red	ABS	B50-R0	https://store.bblcdn.eu/s8/default/f10c8381233a457abfd61dd3c8bf5554/JP36183.png	https://eu.store.bambulab.com/products/abs-gf
41300	ABS-GF	Orange	ABS	B50-A0	https://store.bblcdn.eu/s8/default/f10c8381233a457abfd61dd3c8bf5554/JP36183.png	https://eu.store.bambulab.com/products/abs-gf
41400	ABS-GF	Yellow	ABS-GF			
41500	ABS-GF	Green	ABS-GF	B50-G0		
41600	ABS-GF	Blue	ABS		https://store.bblcdn.eu/s8/default/f10c8381233a457abfd61dd3c8bf5554/JP36183.png	https://eu.store.bambulab.com/products/abs-gf
45100	ASA	White	ASA	B01-W0		
45101	ASA	Black	ASA	B01-K0		
45102	ASA	Gray	ASA	B01-D0		
45200	ASA	Red	ASA	B01-R0		
45500	ASA	Green	ASA			
45600	ASA	Blue	ASA			
46100	ASA Aero	White	ASA Aero	B02-W0		
46101	ASA-CF	Black	ASA-CF	B51-K0		
51100	TPU 95A HF	Black	TPU		https://store.bblcdn.eu/s8/default/59379e6c40124c21bc7dd55245fb1ebe/TPUHF_1.png	https://eu.store.bambulab.com/products/tpu-95a-hf
51101	TPU 95A HF	Gray	TPU		https://store.bblcdn.eu/s8/default/59379e6c40124c21bc7dd55245fb1ebe/TPUHF_1.png	https://eu.store.bambulab.com/products/tpu-95a-hf
51102	TPU 95A HF	White	TPU		https://store.bblcdn.eu/s8/default/59379e6c40124c21bc7dd55245fb1ebe/TPUHF_1.png	https://eu.store.bambulab.com/products/tpu-95a-hf
51103	TPU 85A / TPU 90A	Black	TPU		https://store.bblcdn.eu/s8/default/999f503b431747fd8ab2d2f3548301cf/sliver.jpg	https://eu.store.bambulab.com/products/tpu-85a-tpu-90a
51105	TPU 85A / TPU 90A	White	TPU		https://store.bblcdn.eu/s8/default/999f503b431747fd8ab2d2f3548301cf/sliver.jpg	https://eu.store.bambulab.com/products/tpu-85a-tpu-90a
51107	TPU 85A / TPU 90A	Black	TPU		https://store.bblcdn.eu/s8/default/999f503b431747fd8ab2d2f3548301cf/sliver.jpg	https://eu.store.bambulab.com/products/tpu-85a-tpu-90a
51200	TPU 95A HF	Red	TPU		https://store.bblcdn.eu/s8/default/59379e6c40124c21bc7dd55245fb1ebe/TPUHF_1.png	https://eu.store.bambulab.com/products/tpu-95a-hf
51201	TPU 85A / TPU 90A	Flesh	TPU		https://store.bblcdn.eu/s8/default/999f503b431747fd8ab2d2f3548301cf/sliver.jpg	https://eu.store.bambulab.com/products/tpu-85a-tpu-90a
51305	TPU 85A / TPU 90A	Neon Orange	TPU		https://store.bblcdn.eu/s8/default/999f503b431747fd8ab2d2f3548301cf/sliver.jpg	https://eu.store.bambulab.com/products/tpu-85a-tpu-90a
51400	TPU 95A HF	Yellow	TPU		https://store.bblcdn.eu/s8/default/59379e6c40124c21bc7dd55245fb1ebe/TPUHF_1.png	https://eu.store.bambulab.com/products/tpu-95a-hf
51500	TPU 85A / TPU 90A	Light Cyan	TPU		https://store.bblcdn.eu/s8/default/999f503b431747fd8ab2d2f3548301cf/sliver.jpg	https://eu.store.bambulab.com/products/tpu-85a-tpu-90a
51501	TPU 85A / TPU 90A	Lime Green	TPU		https://store.bblcdn.eu/s8/default/999f503b431747fd8ab2d2f3548301cf/sliver.jpg	https://eu.store.bambulab.com/products/tpu-85a-tpu-90a
51600	TPU 95A HF	Blue	TPU		https://store.bblcdn.eu/s8/default/59379e6c40124c21bc7dd55245fb1ebe/TPUHF_1.png	https://eu.store.bambulab.com/products/tpu-95a-hf
51601	TPU 85A / TPU 90A	Crystal Blue	TPU		https://store.bblcdn.eu/s8/default/999f503b431747fd8ab2d2f3548301cf/sliver.jpg	https://eu.store.bambulab.com/products/tpu-85a-tpu-90a
51700	TPU 85A / TPU 90A	Grape Jelly	TPU		https://store.bblcdn.eu/s8/default/999f503b431747fd8ab2d2f3548301cf/sliver.jpg	https://eu.store.bambulab.com/products/tpu-85a-tpu-90a
51800	TPU 85A / TPU 90A	Cocoa Brown	TPU		https://store.bblcdn.eu/s8/default/999f503b431747fd8ab2d2f3548301cf/sliver.jpg	https://eu.store.bambulab.com/products/tpu-85a-tpu-90a
51900	TPU 85A / TPU 90A	Frozen	TPU		https://store.bblcdn.eu/s8/default/999f503b431747fd8ab2d2f3548301cf/sliver.jpg	https://eu.store.bambulab.com/products/tpu-85a-tpu-90a
51901	TPU 85A / TPU 90A	Blaze	TPU		https://store.bblcdn.eu/s8/default/999f503b431747fd8ab2d2f3548301cf/sliver.jpg	https://eu.store.bambulab.com/products/tpu-85a-tpu-90a
53100	TPU for AMS	White	TPU		https://store.bblcdn.eu/s8/default/5b848554718b444faa29355ce6f54264/d4fb1dd751904e1ea09d142c68d7ec36.jpg	https://eu.store.bambulab.com/products/tpu-for-ams
